model,model_type,validation_accuracy,validation_precision,validation_recall,validation_specificity,validation_f1,validation_mcc,cv_mean,cv_std
Neural Network (sklearn-MLP),Deep Learning,0.7380952380952381,0.7421563943303074,0.7380952380952381,0.9535714285714286,0.7398581560283688,0.6799527167315833,0.6941025641025641,0.04396220957979036
Random Forest,Classical ML,0.5357142857142857,0.573109243697479,0.5357142857142857,0.9003968253968253,0.5427509910268531,0.4340471631657886,0.6478205128205129,0.04500639153966282
Enhanced Deep MLP,Deep Learning,0.5238095238095238,0.5880366207690686,0.5238095238095238,0.8817460317460318,0.5079370055232124,0.41496261505524945,0.5476190476190477,0.0
Enhanced Conv1D Net,Deep Learning,0.5119047619047619,0.6030477980665951,0.5119047619047619,0.9130952380952381,0.5424293878146063,0.4127867570732143,0.5714285714285714,0.0
Enhanced LSTM Net,Deep Learning,0.5,0.5522366522366523,0.5,0.8527777777777779,0.4476634476634477,0.38250233927765787,0.5238095238095238,0.0
K-Nearest Neighbors,Classical ML,0.4880952380952381,0.5433394091288828,0.4880952380952381,0.9007936507936507,0.5011171443374409,0.38696493651635244,0.591923076923077,0.03495935462794804
Transformer Net,Deep Learning,0.4880952380952381,0.4789869794071474,0.4880952380952381,0.8952380952380952,0.472629922507418,0.3820966950186126,0.5,0.0
Support Vector Machine,Classical ML,0.4523809523809524,0.4153947293202996,0.4523809523809524,0.8337301587301588,0.3778697455856919,0.3234105299165863,0.4744871794871795,0.049984218416714105
Naive Bayes,Classical ML,0.4166666666666667,0.40521541950113377,0.4166666666666667,0.875,0.40225330225330225,0.2986439440452275,0.45910256410256406,0.09402288249468915
