feature,pearson_correlation,spearman_correlation
ch0,0.05055989209550539,-0.12204637622585209
ch1,0.17870005443877962,-0.04580570647976064
ch2,0.008326194493131357,-0.10165979947649516
ch3,-0.002238596832271884,-0.13521015268347403
ch4,-0.030594003550246985,-0.1078125552805657
ch5,-0.18666552381550636,-0.19128717161513864
ch6,0.08771178637761184,-0.11494618519832864
ch7,0.19297656678190658,0.009491071679648664
ch8,0.1844959681582144,-0.0017555417375744742
ch9,0.14576844912284073,-0.0529839215845096
ch10,0.1422775948430162,-0.010081825407213408
ch11,0.028479792733381196,-0.16748982806135132
ch12,0.030412638567665948,-0.14740420132415002
ch13,-0.11491291061592263,-0.14919875510033728
