feature,train_mean,test_mean,train_std,test_std
ch0,12272.649506902115,16855.738681540377,4892.839633055357,9045.621833309126
ch1,6797.719771488832,13148.828865024396,5175.938325916653,11174.042125020382
ch2,32402.18997177461,30214.485811413855,12283.961417806353,11300.88873256176
ch3,27770.32269802773,32432.082176458534,5268.385508905341,9803.316128995488
ch4,20672.928047013695,23276.122003400887,2582.0389980833206,4553.525013334358
ch5,38402.758894715924,37460.706668402374,1937.587930820749,2904.897658478274
ch6,10508.392173505907,14849.57685627048,4025.9978356014217,7976.122082101907
ch7,3333.3671708718266,5625.935080686092,1536.6817068963821,3562.0047120461045
ch8,30275.208105940226,52792.88722293486,18940.798931512847,43501.47720890517
ch9,8390.771097950448,12764.362890580604,3386.558063000224,6857.090871526672
ch10,10834.804830780535,14376.728290566656,3443.5753452519775,6766.224197506669
ch11,4973.695083903834,7526.551729197774,2378.341583246988,3193.525663881108
ch12,29283.84951314138,35673.68213833751,11185.961778671748,18944.801505193813
ch13,3049.7744527965583,3083.241641167907,493.7921522260983,584.6490174009308
