feature,f_statistic,p_value
ch0,111.65455870536137,5.3085037017345704e-64
ch1,162.63865655905448,7.89915757512106e-80
ch2,31.400510380273875,3.060557063165093e-25
ch3,121.35314500017986,2.358751203090959e-67
ch4,81.90594438798229,2.3273892324057702e-52
ch5,3.1783194354764355,0.008315978378250787
ch6,206.26023044951492,1.133923499274748e-90
ch7,227.5366729766291,2.5453043188384153e-95
ch8,125.20435430444634,1.2362117362353586e-68
ch9,209.13669804130953,2.53780669162462e-91
ch10,122.9080819061951,7.1174688003565995e-68
ch11,120.62524405921269,4.148030479188623e-67
ch12,122.01705389718886,1.412376885532039e-67
ch13,41.96891516223059,5.204972407859289e-32
