feature,f_statistic,f_p_value,kruskal_h,kruskal_p,eta_squared,significance
ch0,192.28722825384943,4.298273949847366e-53,118.50463142090494,1.8494655535725626e-26,0.5813018515524012,High
ch1,292.75957248362533,4.780540622022735e-69,103.05572599464534,4.1853659423499004e-23,0.678847708347949,High
ch2,67.49818729416938,1.320422413909527e-24,65.55058331227595,5.832727552772994e-15,0.32766398666305097,High
ch3,156.86648941857575,2.7910298231666697e-46,118.71294634108229,1.666522712113983e-26,0.5310910175604716,High
ch4,106.93658612395326,3.838843023105674e-35,111.69491375717632,5.568749075732342e-25,0.43569945219962775,High
ch5,4.2186427740168755,0.015675294064680715,9.686362347298827,0.007881940306371267,0.029559157038066615,Low
ch6,286.5466722842607,3.567152606119272e-68,119.81244868705134,9.617392396830963e-27,0.6741534305969712,High
ch7,352.91727845662973,6.682056028006584e-77,99.89824542002353,2.029418575171835e-22,0.7181621280493434,High
ch8,232.44419075176603,5.515134414465959e-60,97.57343924331629,6.489285448120776e-22,0.6266284701229262,High
ch9,312.47544822218515,9.78626836375767e-72,107.34526360258221,4.900858679931209e-24,0.6928879375895336,High
ch10,191.80293567235609,5.265281038926595e-53,96.34075932418853,1.2019043903132552e-21,0.5806879532630462,High
ch11,205.15424242295194,2.1773930298647384e-55,116.26629267477787,5.663635952803073e-26,0.5969786404395923,High
ch12,190.67540504110482,8.454767640207227e-53,117.06051570884331,3.807430542833954e-26,0.5792516759181772,High
ch13,78.52026347403547,9.671725216716351e-28,94.84847121578893,2.534639315283076e-21,0.3618107462275279,High
