feature,ks_statistic,ks_p_value,mw_statistic,mw_p_value,cohens_d,domain_shift_risk
ch0,0.4,0.06785211836673521,1105.0,0.25839708760212576,-0.8949399946088789,Low
ch1,0.4,0.06785211836673521,1120.0,0.2834402637121679,-1.1437865453063152,Low
ch2,0.25357142857142856,0.49332534796437216,1472.0,0.783783427564959,0.20531277125418962,Low
ch3,0.43214285714285716,0.038392894316263124,1009.0,0.1339768626130492,-0.808747621030022,Medium
ch4,0.4607142857142857,0.0221667731662431,922.0,0.06688027853375678,-0.9245542556598422,Medium
ch5,0.2642857142857143,0.4413512323638828,1593.0,0.4600602991979781,0.40501171356416804,Low
ch6,0.425,0.0437678175334093,1080.0,0.2201501080301056,-1.017117761828458,Medium
ch7,0.4357142857142857,0.03592426507912678,1013.0,0.13800757698161137,-1.4139853312522768,Medium
ch8,0.4,0.06785211836673521,1125.0,0.2921417459657666,-1.1023255774666116,Low
ch9,0.4357142857142857,0.03592426507912678,1005.0,0.1300378123914404,-1.2212854504447963,Medium
ch10,0.3964285714285714,0.07205207257862735,1057.0,0.18871330812765075,-0.9663187100473924,Low
ch11,0.4607142857142857,0.0221667731662431,740.0,0.011376056304315896,-1.0711633303930514,Medium
ch12,0.3535714285714286,0.14152963800926863,1113.0,0.2715558623332117,-0.5310005362019456,Low
ch13,0.23214285714285715,0.6040013506997386,1292.0,0.6799382901423817,-0.11554770850746007,Low
