,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13
ADB_mean,11830.636397139544,5646.8271243537765,31760.46368962659,27658.61576031181,20717.21472223603,38655.1486964739,9986.787692765753,2970.444281194282,25991.623805327465,7765.37069221836,10246.448207431993,4649.747628645337,28554.587296586025,3038.8295410565197
ADB_std,3404.9194860240605,2279.6675884013816,8310.81290669263,3300.8563503418522,1692.2654499904395,1716.7831156550892,2212.806405399604,703.979736282497,7470.737613815178,1721.691614676121,1864.8550382869794,1502.9318453061155,6815.88957716447,371.2612026443153
UFB_mean,20988.842749218387,17374.97040175569,49706.5660861407,36770.65623594657,24603.68409546177,38090.460842653076,18399.976470322013,6491.0275287548275,67059.24237901175,15249.735320159209,17287.77229920076,9278.656130324012,49380.779502920566,3629.8079873688184
UFB_std,3585.3015129505025,5891.89995509373,16727.828410890554,5025.254767135448,2754.229066433824,3477.283510285722,3281.243527940103,1374.154684035707,23861.867591842692,2981.781260739593,3830.509432481387,2054.167411056114,10376.458031279515,342.950834319847
WFB_mean,9328.575672737283,4528.653836249171,26973.843769917545,24225.30829091148,18974.638691826152,37846.23292010579,8029.068165407416,2641.52447271526,23007.323644262717,6639.006351186405,9278.583141759449,3326.2114371479242,21993.72210289163,2700.1539295366083
WFB_std,2139.1066715160055,1693.224359963844,9729.030269101992,3597.1035464717916,2089.059713225201,1960.1194121557546,1822.3484224303563,586.1464739879513,8226.553367272325,1381.2854923184857,1791.0833559176313,1304.0980450574432,6434.747513598532,424.70079505099335
