class,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13
ADB,11830.636397139544,5646.8271243537765,31760.46368962659,27658.61576031181,20717.21472223603,38655.1486964739,9986.787692765753,2970.444281194282,25991.623805327465,7765.37069221836,10246.448207431993,4649.747628645337,28554.587296586025,3038.8295410565197
UFB,20988.842749218387,17374.97040175569,49706.5660861407,36770.65623594657,24603.68409546177,38090.460842653076,18399.976470322013,6491.0275287548275,67059.24237901175,15249.735320159209,17287.77229920076,9278.656130324012,49380.779502920566,3629.8079873688184
WFB,9328.575672737283,4528.653836249171,26973.843769917545,24225.30829091148,18974.638691826152,37846.23292010579,8029.068165407416,2641.52447271526,23007.323644262717,6639.006351186405,9278.583141759449,3326.2114371479242,21993.72210289163,2700.1539295366083
