feature,missing_train,missing_test,variance,skewness,range,cv
ch0,0,0,23165937.44988639,1.437264505622267,37101.716720470344,0.3874010575475825
ch1,0,0,26859634.03994469,2.1925355975539564,32203.483790070877,0.740079614063319
ch2,0,0,156586269.1413813,1.004841834977282,76609.05352523326,0.37969476541655484
ch3,0,0,28583671.619163457,0.3228879032336147,32219.380476510072,0.19108242845548987
ch4,0,0,6961090.18798868,-0.17480443304619253,17551.140786872867,0.12700098623180178
ch5,0,0,4593558.205986129,-2.5693395201116935,20980.18327448968,0.055896477776692884
ch6,0,0,16068390.969120426,1.1440271296360511,21536.30673477053,0.3771208774666942
ch7,0,0,2283831.616951723,1.765134763651797,8165.034467007208,0.4471893547607079
ch8,0,0,349682674.4021521,2.236412974233014,103441.6776779957,0.603107246417089
ch9,0,0,11306499.217424005,1.544389459150623,19019.502034697616,0.3949974929406503
ch10,0,0,11784292.166803982,1.5529190646321998,21113.767047748956,0.31276260600568134
ch11,0,0,5852455.969293271,1.0679178177664879,13775.554328423605,0.4904216845911387
ch12,0,0,126560612.5125237,0.9870173599654897,59560.08106455983,0.3793569674629147
ch13,0,0,228873.53655611502,0.19538539986692402,2303.327150781523,0.15807327991404643
