feature,pearson_correlation,spearman_correlation
ch0,-0.12888715801915007,-0.18190747005010083
ch1,0.014913262399249163,-0.08651756856941865
ch2,-0.09325944029019666,-0.09351685342163767
ch3,-0.18922128365753887,-0.1820553422652886
ch4,-0.20760582021170548,-0.16522255510308578
ch5,-0.16995405202240682,-0.16863593873700244
ch6,-0.10663883315936239,-0.17811208319361593
ch7,0.017215098288195,-0.03693108574313455
ch8,0.035281008840026995,-0.054380007135286214
ch9,-0.0366333163806559,-0.09980142256711604
ch10,-0.022580925015448984,-0.044176824287333126
ch11,-0.13978268156450654,-0.18613415086755003
ch12,-0.15775262276147772,-0.19421783196447906
ch13,-0.23847479094667978,-0.1911618061839327
