feature,f_statistic,p_value
ch0,192.28722825384943,4.298273949847366e-53
ch1,292.75957248362533,4.780540622022735e-69
ch2,67.49818729416938,1.320422413909527e-24
ch3,156.86648941857575,2.7910298231666697e-46
ch4,106.93658612395326,3.838843023105674e-35
ch5,4.2186427740168755,0.015675294064680715
ch6,286.5466722842607,3.567152606119272e-68
ch7,352.91727845662973,6.682056028006584e-77
ch8,232.44419075176603,5.515134414465959e-60
ch9,312.47544822218515,9.78626836375767e-72
ch10,191.80293567235609,5.265281038926595e-53
ch11,205.15424242295194,2.1773930298647384e-55
ch12,190.67540504110482,8.454767640207227e-53
ch13,78.52026347403547,9.671725216716351e-28
