model,model_type,validation_accuracy,validation_precision,validation_recall,validation_specificity,validation_f1,validation_mcc,cv_mean,cv_std
Enhanced LSTM Net,Deep Learning,0.9404761904761905,0.9412050534499514,0.9404761904761905,0.942857142857143,0.9405242150647798,0.895157291314148,0.9404761904761905,0.0
Neural Network (sklearn-MLP),Deep Learning,0.9285714285714286,0.9314495028780744,0.9285714285714286,0.9158730158730158,0.9277570738440304,0.8748754690339515,0.938846153846154,0.02023692668961601
Enhanced Conv1D Net,Deep Learning,0.8928571428571429,0.9018455228981546,0.8928571428571429,0.8682539682539683,0.8905707072336109,0.8128679485135875,0.8928571428571429,0.0
Transformer Net,Deep Learning,0.8452380952380952,0.8494609164420485,0.8452380952380952,0.8575396825396826,0.8361779035046362,0.7329220430506856,0.8571428571428571,0.0
Random Forest,Classical ML,0.7976190476190477,0.8024472947073565,0.7976190476190477,0.7746031746031745,0.7899663634855272,0.6367972530192109,0.8671794871794871,0.050046658046177896
K-Nearest Neighbors,Classical ML,0.7976190476190477,0.8155287335615203,0.7976190476190477,0.7523809523809524,0.7820609838958463,0.6450549514661204,0.8826923076923077,0.05013131998978757
Enhanced Deep MLP,Deep Learning,0.7738095238095238,0.7741568776051534,0.7738095238095238,0.7595238095238095,0.7545479711517449,0.6004229420541145,0.7738095238095238,0.0
Support Vector Machine,Classical ML,0.7619047619047619,0.7945526695526695,0.7619047619047619,0.7075396825396825,0.7321394961146515,0.5865586690225727,0.8162820512820513,0.030109377641512895
Naive Bayes,Classical ML,0.6547619047619048,0.6725274725274725,0.6547619047619048,0.7591269841269841,0.656084656084656,0.4382504900892777,0.6833333333333333,0.06327673168847726
