feature,coefficient_variation,range_ratio,relative_std,mean_across_classes,std_across_classes
ch0,0.3567531589618087,0.5555459734394039,0.3567531589618087,14049.35160636507,5012.1505669359
ch1,0.6326810484910125,0.739357608586685,0.6326810484910125,9183.48378745288,5810.216151445903
ch2,0.2707060032808117,0.4573384183656482,0.2707060032808117,36146.957848561615,9785.198489944081
ch3,0.17913218915389206,0.34117824453649276,0.17913218915389206,29551.526762389953,5293.629681786741
ch4,0.10978756184444921,0.22878872049385127,0.10978756184444921,21431.845836507986,2352.950100216322
ch5,0.008868863049026695,0.02092646914179127,0.008868863049026695,38197.28081974426,338.766452435526
ch6,0.3706366548240617,0.563637041690907,0.3706366548240617,12138.610776165062,4499.014092289126
ch7,0.43187525778354574,0.593049873688953,0.43187525778354574,4034.3320942214564,1742.3282131763235
ch8,0.5195624433015561,0.6569104745587826,0.5195624433015561,38686.06327620064,20099.82555750141
ch9,0.3865990464328814,0.5646477652362892,0.3865990464328814,9884.704121187991,3821.41718752245
ch10,0.29088067834941317,0.46328636326448996,0.29088067834941317,12270.934549464067,3569.3777657293585
ch11,0.4436914912958693,0.6415201306709303,0.4436914912958693,5751.538398705758,2551.908649367214
ch12,0.3505093309952764,0.5546096614049838,0.3505093309952764,33309.696300799405,11675.359366049033
ch13,0.12301281313793261,0.2561165937887804,0.12301281313793261,3122.9304859873155,384.1604643155107
