model,validation_accuracy,validation_precision,validation_recall,validation_specificity,validation_f1,validation_mcc,cv_mean,cv_std
Random Forest,0.5357142857142857,0.573109243697479,0.5357142857142857,0.9003968253968253,0.5427509910268531,0.4340471631657886,0.6478205128205129,0.04500639153966282
Support Vector Machine,0.4523809523809524,0.4153947293202996,0.4523809523809524,0.8337301587301588,0.3778697455856919,0.3234105299165863,0.4744871794871795,0.049984218416714105
K-Nearest Neighbors,0.4880952380952381,0.5433394091288828,0.4880952380952381,0.9007936507936507,0.5011171443374409,0.38696493651635244,0.591923076923077,0.03495935462794804
Neural Network (sklearn-MLP),0.7380952380952381,0.7421563943303074,0.7380952380952381,0.9535714285714286,0.7398581560283688,0.6799527167315833,0.6941025641025641,0.04396220957979036
Naive Bayes,0.4166666666666667,0.40521541950113377,0.4166666666666667,0.875,0.40225330225330225,0.2986439440452275,0.45910256410256406,0.09402288249468915
Deep MLP,0.5833333333333334,0.5804988662131519,0.5833333333333334,0.8944444444444445,0.5531302031302031,0.488209331360016,,
Conv1D Net,0.5952380952380952,0.6482993197278911,0.5952380952380952,0.9297619047619047,0.6017910194380782,0.514633204312145,,
LSTM Net,0.47619047619047616,0.4125507567368032,0.47619047619047616,0.8515873015873017,0.42308226196239546,0.351227971109525,,
