class,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13
ADB_2,10167.678834797123,4447.873296510605,30365.818672617974,26077.349303044906,19884.04603474888,39146.11615502687,8688.847734433759,2597.8990833972834,21236.628181121898,6822.686607771594,9293.817909361054,4228.124710905008,25542.66596548583,2885.213977521561
ADB_3,12020.093653945,5052.672188655876,30549.696435509766,27073.596546167344,20560.100580461196,38424.344698272,9757.11348865254,2775.074824582492,24754.026029648663,7415.409084966397,9801.371255772528,4570.366957489611,27276.96975386593,3170.3680838109794
ADB_4,11307.737107648029,5395.531949320865,31644.19588977776,27085.701464562495,20342.906925345604,38360.659648851084,9683.605202323291,2853.2967651710237,25453.767832893634,7503.926667852897,10105.95357340654,4600.762687348391,27662.410483822256,3126.8752098059354
ADB_5,13389.82022916057,7061.517048085402,33179.681437773914,29734.508976958965,21758.02864592197,38863.9340849554,11454.10082766341,3488.628392739841,30055.54418609864,8922.64309865089,11385.776633119074,5545.709450505412,32514.98476992915,3149.4803221907723
UFB,21338.966778313355,17506.437168692286,49419.285942410745,37296.76639155796,24887.72550184439,38378.51802727355,18727.4243749854,6622.553466126279,68254.15444863123,15485.155468497818,17560.732876323826,9432.844508431572,50116.17356868244,3677.237962460685
WFB,8842.12497222536,4060.0033745783935,25828.325712166064,23562.16810195121,18638.844320386914,37822.86982431628,7623.826793241479,2498.058832042935,21086.168031593763,6292.788378956769,8847.990783740363,3219.0286363234245,20936.87102510202,2669.6228068929872
