feature,coefficient_variation,range_ratio,relative_std,mean_across_classes,std_across_classes
ch0,0.38255459902937095,0.5856348124028409,0.38255459902937095,13967.474735642134,5343.321696946446
ch1,0.6686283236404839,0.7680851143235976,0.6686283236404839,9018.613054637955,6030.100128284759
ch2,0.2829847556019817,0.4773634377828867,0.2829847556019817,35560.81992116555,10063.169934397116
ch3,0.19610801313809786,0.3682517177337804,0.19610801313809786,29450.574522064202,5775.493655297497
ch4,0.12183822533254418,0.2510828553213664,0.12183822533254418,21387.61345628357,2605.8288676120314
ch5,0.00944806232470701,0.022633638388419683,0.00944806232470701,38300.050499455385,361.8612641582803
ch6,0.3963976280944757,0.5929057493125014,0.3963976280944757,12082.389327165043,4789.430471002232
ch7,0.4608962575501758,0.6227952186690127,0.4608962575501758,4016.445688213958,1851.1647863513535
ch8,0.5569373628548163,0.6910639623048378,0.5569373628548163,38238.438012555234,21296.414826399876
ch9,0.41250622464022296,0.5936244623595492,0.41250622464022296,9814.703404088343,4048.626247184027
ch10,0.3149662093849765,0.49614911598196315,0.3149662093849765,12185.151167659662,3837.910874060684
ch11,0.45637266842603524,0.6587425316460918,0.45637266842603524,5796.038032105701,2645.153343010865
ch12,0.37450871754036436,0.5822332485857329,0.37450871754036436,33100.76744568675,12396.525965685989
ch13,0.13156977817026444,0.27401412849916174,0.13156977817026444,3143.2817225619947,413.56087896412834
