class,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13
ADB,11721.33245638768,5489.398620643187,31434.848108919854,27492.78907268343,20636.270546619413,38698.76364677634,9895.91681326825,2928.72476647266,25374.99155744071,7666.166364810444,10146.7298429148,4736.240951562106,28249.25774327579,3082.984398332312
UFB,21338.966778313355,17506.437168692286,49419.285942410745,37296.76639155796,24887.72550184439,38378.51802727355,18727.4243749854,6622.553466126279,68254.15444863123,15485.155468497818,17560.732876323826,9432.844508431572,50116.17356868244,3677.237962460685
WFB,8842.12497222536,4060.0033745783935,25828.325712166064,23562.16810195121,18638.844320386914,37822.86982431628,7623.826793241479,2498.058832042935,21086.168031593763,6292.788378956769,8847.990783740363,3219.0286363234245,20936.87102510202,2669.6228068929872
