feature,missing_train,missing_test,variance,skewness,range,cv
ch0,0,0,24025685.695137057,1.690958336670405,37647.77665973305,0.3993921864264808
ch1,0,0,26886360.268939096,2.239270579343823,30634.48377532552,0.7627860633424194
ch2,0,0,151436552.94610545,1.0487884065639286,66643.14135358324,0.3797877861195743
ch3,0,0,27855369.332345024,0.5696078129406642,24370.13269905887,0.1900524769677197
ch4,0,0,6690821.177542916,0.17545002868228898,12583.415517028583,0.125123164135829
ch5,0,0,3767703.0720624547,-1.240080644194523,12661.386612002942,0.050544733258847965
ch6,0,0,16266754.122705566,1.2073089943207627,19121.916616960567,0.3838081378535249
ch7,0,0,2369854.434146215,1.8057209681634685,7804.151434472066,0.46182525794601187
ch8,0,0,360039720.3079552,2.325344857389008,99013.1272030588,0.6267409488239795
ch9,0,0,11509882.236344488,1.5991561871269309,17738.57174762716,0.40432776622429634
ch10,0,0,11900713.707382213,1.6140076092982496,18757.894876617793,0.3183943929933777
ch11,0,0,5676782.911284951,1.1083442459608797,12742.90872062126,0.47904022895544623
ch12,0,0,125574220.27201955,1.0472501151627551,58105.237720678684,0.38266794020404377
ch13,0,0,244704.63472409692,0.1439590118866353,2432.4854623532055,0.16220094322478462
