feature,f_statistic,f_p_value,kruskal_h,kruskal_p,eta_squared,significance
ch0,244.320111874125,7.01489729679893e-62,141.98465798913378,1.4737481067911502e-31,0.6382112754683584,High
ch1,370.5920423597147,5.006161695593843e-79,124.80935748566401,7.906647497291699e-28,0.7279470341786677,High
ch2,77.74590942340967,1.5867530171463229e-27,72.18231417549976,2.1174327759704285e-16,0.3595254570627882,High
ch3,258.3176328101555,4.852274655211305e-64,141.22924349428484,2.150103833604098e-31,0.650973171178961,High
ch4,174.90729675861292,7.580236926684752e-50,130.4629812252808,4.680837674483349e-29,0.5580830394428465,High
ch5,5.613267135064295,0.004076567152748968,13.066267999493059,0.001454440483488587,0.03895038428213278,Medium
ch6,427.45088623435424,2.142582367452688e-85,142.9749123480297,8.982397256857966e-32,0.7552791180847298,High
ch7,486.91369197122566,2.0970597802836564e-91,119.24868519482126,1.2749026470427092e-26,0.7785465816019066,High
ch8,294.12804596148675,3.082561997117434e-69,116.46627100609938,5.124725254941143e-26,0.6798635657284009,High
ch9,445.2387098902519,2.948032070221064e-87,128.966950191637,9.889688028571354e-29,0.7627363105214671,High
ch10,272.373459998994,3.910418572773159e-66,115.65463304796774,7.689808600925523e-26,0.6629132482776104,High
ch11,272.9541911081818,3.2156382759420917e-66,138.96721329019095,6.662742840744389e-31,0.6633890163398894,High
ch12,268.21162830025565,1.601773003105427e-65,138.440000359597,8.672331782494446e-31,0.6594638796563937,High
ch13,93.33545351839804,1.0312980699139613e-31,108.4885579197086,2.7669988135051523e-24,0.4025935296000404,High
