model,validation_accuracy,validation_f1,cv_mean,cv_std
Random Forest,0.9743589743589743,0.974148061104583,0.9777777777777779,0.027216552697590882
Support Vector Machine,0.9743589743589743,0.974148061104583,0.967251461988304,0.0441665674584777
Logistic Regression,0.9743589743589743,0.974148061104583,0.9888888888888889,0.022222222222222233
Gradient Boosting,0.9487179487179487,0.9487559149694027,0.9777777777777779,0.027216552697590882
K-Nearest Neighbors,0.9743589743589743,0.974148061104583,0.9777777777777779,0.027216552697590882
Naive Bayes,0.9743589743589743,0.9746674378253325,0.9450292397660818,0.035155879216816704
Neural Network,0.9487179487179487,0.9477364740522635,0.9666666666666668,0.04444444444444447
Decision Tree,0.9743589743589743,0.974148061104583,0.9777777777777779,0.027216552697590882
