model,validation_accuracy,validation_f1,cv_mean,cv_std
Random Forest,0.9615384615384616,0.9610256410256409,0.9904761904761905,0.019047619047619067
Support Vector Machine,0.9230769230769231,0.9205409974640744,0.9619047619047618,0.046656947481584346
Logistic Regression,0.9230769230769231,0.9205409974640744,0.9904761904761905,0.019047619047619067
Gradient Boosting,0.9615384615384616,0.9610256410256409,0.9714285714285713,0.0380952380952381
K-Nearest Neighbors,0.9615384615384616,0.9610256410256409,0.9904761904761905,0.019047619047619067
Naive Bayes,0.9615384615384616,0.9621816310779523,0.9519047619047619,0.030131984799155
Neural Network,0.8846153846153846,0.8777120315581853,0.9904761904761905,0.019047619047619067
Decision Tree,0.9615384615384616,0.9610256410256409,0.9714285714285713,0.0380952380952381
