model,best_score,best_params
Random Forest,0.8927061310782239,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
Support Vector Machine,0.9004580690627203,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
Gradient Boosting,0.9154334038054968,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}"
