Model,Accuracy,F1 (W),Precision,Recall,Specificity,MCC,Kappa (κ),AUC,Brier,CV Mean,CV Std,95% CI Lo,95% CI Hi,Model Type
BiLSTM + Attention,0.9524,0.9522,0.9533,0.9524,0.9476,0.9162,0.9154,0.9876,0.0345,0.9524,0.0,0.8929,0.9881,Deep Learning
Transformer Encoder,0.9524,0.9518,0.9527,0.9524,0.9476,0.9167,0.9157,0.9809,0.0359,0.9524,0.0,0.9048,0.9881,Deep Learning
Conv1D + Attention,0.8929,0.8889,0.8977,0.8929,0.8821,0.8143,0.8073,0.9709,0.0692,0.8929,0.0,0.8214,0.9524,Deep Learning
Random Forest,0.7976,0.7863,0.8073,0.7976,0.7635,0.6398,0.6186,0.8775,0.1078,0.8667,0.0268,0.7024,0.881,Classical ML
K-Nearest Neighbors,0.7976,0.7821,0.8155,0.7976,0.7524,0.6451,0.6136,0.8715,0.1102,0.8679,0.0401,0.7024,0.881,Classical ML
SVM (RBF),0.7619,0.7321,0.7946,0.7619,0.7075,0.5866,0.538,0.8922,0.1092,0.794,0.0344,0.6667,0.8452,Classical ML
