feature,train_mean,test_mean,train_std,test_std
ch0,13402.608622988511,16855.738681540377,5684.678456563016,9045.621833309126
ch1,8637.869156545803,13148.828865024396,6795.599634043717,11174.042125020382
ch2,35541.86323731601,30214.485811413855,15254.209389837944,11300.88873256176
ch3,29018.41155691494,32432.082176458534,6608.403613152024,9803.316128995488
ch4,21133.992894565403,23276.122003400887,3230.2792704852486,4553.525013334358
ch5,38953.304666858814,37460.706668402374,1732.7012891998909,2904.897658478274
ch6,11602.304583077288,14849.57685627048,5036.297263394469,7976.122082101907
ch7,3805.6084678027564,5625.935080686092,1894.5244734747303,3562.0047120461045
ch8,36588.69307775131,52792.88722293486,24825.622968399355,43501.47720890517
ch9,9426.845392103976,12764.362890580604,4268.679445773042,6857.090871526672
ch10,12027.699237599,14376.728290566656,4399.246929172663,6766.224197506669
ch11,5709.738686804851,7526.551729197774,2980.48932771984,3193.525663881108
ch12,32840.96050374613,35673.68213833751,14012.493760568943,18944.801505193813
ch13,3113.538550398902,3083.241641167907,611.4491090938986,584.6490174009308
