class,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13
Ad,12859.733524997244,6794.706424870727,35911.282042831685,29440.17816825615,21554.430189736577,39627.44080943036,11047.198322889142,3351.377352655329,29337.552772022675,8676.078927383067,11437.433164487296,5726.732348081464,32858.931317222865,3211.861945543627
UF,22153.885627645053,19528.420378154977,54179.81502679063,38156.956179364824,25248.999944567615,39241.59054530867,19376.425045561406,6833.343297539389,76149.52987642176,16126.008894750763,18596.052216533943,9925.320227379802,52707.12898633101,3747.762378618751
WF,7653.463516483011,3234.699837851539,21009.271186936498,21531.8531730657,17417.081664306996,37725.88604416411,6604.373626496419,2216.154018221423,17794.775937341423,5528.622462200252,7986.833613065345,2522.5620394587177,17914.37792159239,2490.3855865169276
