model,validation_accuracy,validation_precision,validation_recall,validation_specificity,validation_f1,validation_mcc,cv_mean,cv_std
Random Forest,0.9615384615384616,0.9644970414201184,0.9615384615384616,0.967032967032967,0.9610256410256409,0.941516540759899,0.9904761904761905,0.019047619047619067
Support Vector Machine,0.9230769230769231,0.9340659340659341,0.9230769230769231,0.9340659340659341,0.9205409974640744,0.8860760232362956,0.9619047619047618,0.046656947481584346
K-Nearest Neighbors,0.9615384615384616,0.9644970414201184,0.9615384615384616,0.967032967032967,0.9610256410256409,0.941516540759899,0.9904761904761905,0.019047619047619067
Neural Network,0.8846153846153846,0.9076923076923078,0.8846153846153846,0.9010989010989011,0.8777120315581853,0.8332051183416778,0.9904761904761905,0.019047619047619067
Naive Bayes,0.9615384615384616,0.967032967032967,0.9615384615384616,0.9884615384615385,0.9621816310779523,0.9428534791208707,0.9519047619047619,0.030131984799155
