model,ECE,brier
Random Forest,0.077,0.1078
SVM (RBF),0.0634,0.1092
K-Nearest Neighbors,0.0667,0.1102
sklearn MLP,0.0391,0.0372
Gradient Boosting,0.1318,0.1251
Naive Bayes,0.2165,0.214
