feature,f_statistic,f_p_value,kruskal_h,kruskal_p,eta_squared,significance
ch0,409.74864419325314,4.054674779462914e-56,106.85848502642398,6.2513642419758235e-24,0.8658210630307276,High
ch1,291.5517926871099,3.4088507349334375e-48,104.42342337052264,2.1122325181427574e-23,0.8211528534487375,High
ch2,105.40300766434882,1.0499236691399206e-27,83.56650029359957,7.141098528770804e-19,0.6240445870200848,High
ch3,328.68291529667886,6.16028744692073e-51,109.58300645918973,1.6008568261667328e-24,0.8380857566119021,High
ch4,238.43323431180926,1.0041259411853234e-43,104.77899588960662,1.7681948971062485e-23,0.789688604022892,High
ch5,19.03776087718354,5.8706499875178807e-08,32.133329418672986,1.0527764807453597e-07,0.2306551652826123,High
ch6,385.2517102771148,1.1850676456421397e-54,106.65792718731655,6.910753233947667e-24,0.8584963610260395,High
ch7,315.63291016055246,5.282898821894682e-50,104.2924544920728,2.2551802265131117e-23,0.8325125614310042,High
ch8,256.7699146534813,2.3760545586489895e-45,97.8993247210804,5.51355543913989e-22,0.8017297376536147,High
ch9,331.5271573139237,3.893319166860544e-51,107.32850851438639,4.94208829998459e-24,0.839251558217459,High
ch10,228.2538449759943,8.862948017644042e-43,102.17520258367591,6.500348865164526e-23,0.7823507690010916,High
ch11,277.01388994496506,4.848079421810334e-47,106.74141514973576,6.628209165912581e-24,0.8135171519427205,High
ch12,276.06109871050234,5.792192561493946e-47,107.88617146212573,3.739517157406257e-24,0.8129938905217827,High
ch13,87.61815705029021,1.228922154712196e-24,75.38071638285385,4.27843971035225e-17,0.5797990047028706,High
