model,validation_accuracy,validation_precision,validation_recall,validation_specificity,validation_f1,validation_mcc,cv_mean,cv_std
Random Forest,0.9743589743589743,0.9757085020242915,0.9743589743589743,0.9780219780219781,0.974148061104583,0.9606470360675446,0.9777777777777779,0.027216552697590882
Support Vector Machine,0.9743589743589743,0.9757085020242915,0.9743589743589743,0.9780219780219781,0.974148061104583,0.9606470360675446,0.967251461988304,0.0441665674584777
K-Nearest Neighbors,0.9743589743589743,0.9757085020242915,0.9743589743589743,0.9780219780219781,0.974148061104583,0.9606470360675446,0.9777777777777779,0.027216552697590882
Neural Network (sklearn-MLP),0.9487179487179487,0.9538461538461539,0.9487179487179487,0.956043956043956,0.9477364740522635,0.9227233820145191,0.9666666666666668,0.04444444444444447
Naive Bayes,0.9743589743589743,0.976923076923077,0.9743589743589743,0.9923076923076923,0.9746674378253325,0.9612565188682607,0.9450292397660818,0.035155879216816704
Deep MLP,0.9743589743589743,0.9757085020242915,0.9743589743589743,0.9780219780219781,0.974148061104583,0.9606470360675446,,
Conv1D Net,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9666259666259667,0.9487179487179487,0.9197530864197531,,
LSTM Net,1.0,1.0,1.0,1.0,1.0,1.0,,
