feature,f_statistic,p_value
ch0,244.320111874125,7.01489729679893e-62
ch1,370.5920423597147,5.006161695593843e-79
ch2,77.74590942340967,1.5867530171463229e-27
ch3,258.3176328101555,4.852274655211305e-64
ch4,174.90729675861292,7.580236926684752e-50
ch5,5.613267135064295,0.004076567152748968
ch6,427.45088623435424,2.142582367452688e-85
ch7,486.91369197122566,2.0970597802836564e-91
ch8,294.12804596148675,3.082561997117434e-69
ch9,445.2387098902519,2.948032070221064e-87
ch10,272.373459998994,3.910418572773159e-66
ch11,272.9541911081818,3.2156382759420917e-66
ch12,268.21162830025565,1.601773003105427e-65
ch13,93.33545351839804,1.0312980699139613e-31
