feature,pearson_correlation,spearman_correlation
ch0,-0.15436177054805778,-0.24255992254116712
ch1,-0.007589275818928312,-0.15768120142434336
ch2,-0.12252960319467766,-0.13404627298327657
ch3,-0.2249679791586716,-0.24156178427019404
ch4,-0.24637791253373334,-0.21341674956769324
ch5,-0.19623063207180194,-0.1916795161109457
ch6,-0.13374326546314147,-0.23602889434838017
ch7,-0.005494402654043751,-0.10751551128691746
ch8,0.01047274144694284,-0.1176201209436822
ch9,-0.06215450441951112,-0.16677535011543163
ch10,-0.057534848841209796,-0.11492145080364383
ch11,-0.17457895248994332,-0.24588705011107748
ch12,-0.18208408686391958,-0.24352109272803013
ch13,-0.2934168517586146,-0.24207933744773566
