model,validation_accuracy,validation_precision,validation_recall,validation_specificity,validation_f1,validation_mcc,cv_mean,cv_std
Random Forest,0.8452380952380952,0.8561108653987911,0.8452380952380952,0.8158730158730158,0.8396096354284507,0.7273065072554439,0.8774358974358976,0.030269445258202497
Support Vector Machine,0.8333333333333334,0.8542124542124542,0.8333333333333334,0.7888888888888889,0.819328645415602,0.7153937349538297,0.801025641025641,0.024997041245033717
K-Nearest Neighbors,0.7976190476190477,0.8072639225181598,0.7976190476190477,0.7634920634920634,0.7863351601669359,0.639788770087183,0.8570512820512819,0.04191739160069699
Neural Network (sklearn-MLP),0.9523809523809523,0.9572649572649572,0.9523809523809523,0.9837301587301586,0.9526342710997442,0.9219792183644339,0.9693589743589743,0.010323498532921749
Naive Bayes,0.6785714285714286,0.723931623931624,0.6785714285714286,0.7964285714285715,0.6845897877223178,0.49765499437180905,0.699102564102564,0.028331883011958235
Deep MLP,0.9285714285714286,0.9284519827998088,0.9285714285714286,0.940873015873016,0.928176291793313,0.875590675855009,,
Conv1D Net,0.9166666666666666,0.9188915432393694,0.9166666666666666,0.95,0.917228459772967,0.8570165068935383,,
LSTM Net,0.7857142857142857,0.7829004329004329,0.7857142857142857,0.805952380952381,0.7837600878860862,0.6211585466400743,,
